MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata
105	CRDMSOHet	CRDMSOHet	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE
106	CRDMSOFHet	CRDMSOFHet	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE
107	OccupHet	OccupHet	FALSE	FALSE	TRUE	TRUE	2	0	1	FALSE
108	RDOccupHetPE	RDOccupHetPE	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE
109	RDOccupHetPG	RDOccupHetPG	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE
110	RDOccupHetEG	RDOccupHetEG	TRUE	FALSE	TRUE	TRUE	2	-1	1	FALSE
111	OccupRNPoisson	OccupRNPoisson	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE
112	OccupRNNegBin	OccupRNNegBin	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE
113	2SpecOccup	2SpecOccup	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE
114	LogitNormalMR	LogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE
115	PoissonMR	PoissonMR	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE
116	MSOccupancy	MSOccupancy	FALSE	FALSE	TRUE	TRUE	1	-1	1	FALSE
117	OccupRPoisson	OccupRPoisson	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE
118	OccupRNegBin	OccupRNegBin	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE
119	ORDMSState	ORDMSState	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE
120	IELogitNormalMR	IELogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE
121	RDMSMisClass	RDMSMisClass	TRUE	TRUE	FALSE	FALSE	2	0	1	TRUE
123	MultScalOcc	MultScalOcc	TRUE	FALSE	TRUE	FALSE	1	0	1	FALSE
124	RDMSOccRepro	RDMSOccRepro	TRUE	FALSE	TRUE	TRUE	1	0	1	TRUE
126	RDMSOpenMisClass	RDMSOpenMisClass	TRUE	FALSE	FALSE	TRUE	2	0	1	TRUE
127	Densitypc	Densitypc	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE
130	CJSMixture	CJSMixture	FALSE	FALSE	FALSE	FALSE	2	-1	1	FALSE
131	PradSenMix	PradSenMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE
132	PradLambdaMix	PradLambdaMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE
133	PradelRecMix	PradelRecMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE
134	LinkBarkMix	LinkBarkMix	FALSE	FALSE	FALSE	TRUE	2	-1	1	FALSE
135	CJSRandom	CJSRandom	FALSE	FALSE	FALSE	FALSE	1	-1	1	FALSE
