model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
RDPdLHugHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDPdfHugHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHugHet	f	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHugHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdfHugHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
CJSMixture	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
CJSMixture	Phi	0	-1	1	STriang	all	logit	~mixture			TRUE	0											
CJSMixture	p	1	-1	0	STriang	all	logit	~mixture			TRUE	0											
RDBarker	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarker	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarker	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarker	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarker	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarker	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarker	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarker	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDBarker	c	1	-1	0	Square	all	logit			p			TRUE										
RDBarker	f0	0			Square	all	log	~session					TRUE										
RDBarkHet	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarkHet	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHet	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHet	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHet	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarkHet	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarkHet	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarkHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDBarkHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDBarkHet	f0	0			Square	all	log	~session					TRUE										
RDBarkFHet	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarkFHet	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkFHet	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkFHet	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkFHet	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarkFHet	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarkFHet	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarkFHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDBarkFHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDBarkFHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDBarkFHet	f0	0			Square	all	log	~session					TRUE										
RDBarkHug	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarkHug	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHug	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHug	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHug	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarkHug	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarkHug	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarkHug	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDBarkHug	c	1	-1	0	Square	all	logit			p			TRUE										
RDBarkHHet	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarkHHet	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHHet	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHHet	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHHet	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarkHHet	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarkHHet	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarkHHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDBarkHHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDBarkHFHet	S	0	0	1	Triang	all	logit	~1					FALSE										
RDBarkHFHet	r	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHFHet	R	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHFHet	RPrime	0	0	0	Triang	all	logit	~1					FALSE										
RDBarkHFHet	aDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	aPrime			FALSE										
RDBarkHFHet	aPrime	2	-2	0	Triang	all	logit			aDoublePrime			FALSE										
RDBarkHFHet	F	0	-1	1	Triang	all	logit	~1					FALSE										
RDBarkHFHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDBarkHFHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDBarkHFHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDMSOccRepro	Phi0	1	0	0	Square	all	logit	~1			FALSE		FALSE	FALSE		0							
RDMSOccRepro	Psi	1	-1	0	Square	all	logit	~1			FALSE		FALSE	TRUE					0				
RDMSOccRepro	R	1	-1	0	Square	all	logit	~1			FALSE		FALSE	TRUE	TRUE				02				
RDMSOccRepro	p	0	0	0	Square	all	logit	~1			FALSE		TRUE	TRUE					1				
RDMSOccRepro	Delta	1	0	0	Square	all	logit	~1			FALSE		TRUE	TRUE	TRUE				22				
RDMSOpenMCSeas	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
RDMSOpenMCSeas	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum					FALSE	TRUE	TRUE								
RDMSOpenMCSeas	pi	1	-2		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMCSeas	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMCSeas	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas	Delta	0	0	0	Triang	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas	pent	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
RDMSOpenMCSeas	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas	alpha	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
RDMSOpenMCSeas	c	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
PMDead	pi	0	1	0	Square	all	logit	~1			TRUE	-1											
PMDead	S	0	0	1	STriang	all	logit	~mixture			TRUE	0											
PMDead	r	0	0	0	Triang	all	logit	~1															
REDead	sigmaS	0	1		Square	all	log	~1															
REDead	S	0	0	1	Triang	all	logit	~1															
REDead	sigmar	0	1		Square	all	log	~1															
REDead	r	0	0	0	Triang	all	logit	~1															
BurnhamLDRE	sigmaS	0	1		Square	all	log	~1															
BurnhamLDRE	S	0	0	1	Triang	all	logit	~1															
BurnhamLDRE	sigmap	0	1		Square	all	log	~1															
BurnhamLDRE	p	1	-1	0	Triang	all	logit	~1															
BurnhamLDRE	sigmar	0	1		Square	all	log	~1															
BurnhamLDRE	r	0	0	0	Triang	all	logit	~1															
BurnhamLDRE	sigmaF	0	1		Square	all	log	~1															
BurnhamLDRE	F	0	-1	1	Triang	all	logit	~1															
HugginsRE	p	0	0	0	Square	all	logit	~1	FALSE	c													
HugginsRE	c	1	-1	0	Square	all	logit			p													
HugginsRE	sigmap	0	1		Square	all	log	~1															
OccRelClos	p	0	0	0	Square	all	logit	~1															
OccRelClos	Psi	0	1		Square	all	logit	~1															
OccRelClos	pent	1	-1	0	Square	all	mlogit	~1															
OccRelClos	d	0	-1	0	Square	all	logit	~1															
UnIdLogitNormalMR	p	0	0	0	Square	all	logit	~1					TRUE										
UnIdLogitNormalMR	sigma	0		0	Square	all	log	~session					TRUE										
UnIdLogitNormalMR	N	0			Square	all	log	~session					TRUE										
UnIdLogitNormalMR	r	0	0	0	Square	all	logit	~1					TRUE										
UnIdPoissonMR	alpha	0	0	0	Square	all	log	~1															
UnIdPoissonMR	sigma	0	0	0	Square	all	log	~1															
UnIdPoissonMR	U	0	0	0	Square	all	log	~1															
UnIdPoissonMR	Phi	0	-1	1	Triang	all	logit	~1															
UnIdPoissonMR	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
UnIdPoissonMR	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime													
UnIdPoissonMR	r	0	0	0	Square	all	logit	~1															
UnIdIELogitNormalMR	p	0	0	0	Square	all	logit	~1					TRUE										
UnIdIELogitNormalMR	sigma	0		0	Square	all	log	~session					TRUE										
UnIdIELogitNormalMR	Nbar	0			Square	all	log	~session					TRUE										
UnIdIELogitNormalMR	alpha	0	-1	0	Square	all	identity	~1					TRUE										
UnIdIELogitNormalMR	Nstar	0			Square	all	log	~session					TRUE										
UnIdIELogitNormalMR	r	0	0	0	Square	all	logit	~1					TRUE										
RDHugginsRE	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDHugginsRE	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDHugginsRE	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDHugginsRE	sigmap	0			Square	all	log	~1					TRUE										
RDHugginsRE	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDHugginsRE	c	1	-1	0	Square	all	logit			p			TRUE										
RD2SpGEConOcc	PsiA	0	1		Square	all	logit	~1					FALSE										
RD2SpGEConOcc	PsiBA	0	1		Square	all	logit	~1	FALSE	PsiBa			FALSE										
RD2SpGEConOcc	PsiBa	0	1		Square	all	logit			PsiBA			FALSE										
RD2SpGEConOcc	GammaA	0	-1		Square	all	logit			EpsilonA			FALSE										
RD2SpGEConOcc	GammaB	0	-1		Square	all	logit			EpsilonB			FALSE										
RD2SpGEConOcc	GammaAB	0	-1		Square	all	logit			EpsilonAB			FALSE										
RD2SpGEConOcc	GammaBA	0	-1		Square	all	logit			EpsilonBA			FALSE										
RD2SpGEConOcc	EpsilonA	0	-1		Square	all	logit	~1	FALSE	GammaA			FALSE										
RD2SpGEConOcc	EpsilonB	0	-1		Square	all	logit	~1	FALSE	GammaB			FALSE										
RD2SpGEConOcc	EpsilonAB	0	-1		Square	all	logit	~1	FALSE	GammaAB			FALSE										
RD2SpGEConOcc	EpsilonBA	0	-1		Square	all	logit	~1	FALSE	GammaBA			FALSE										
RD2SpGEConOcc	pA	0	0	0	Square	all	logit	~1	FALSE	pB			TRUE										
RD2SpGEConOcc	pB	0	0	0	Square	all	logit			pA			TRUE										
RD2SpGEConOcc	rA	0	0	0	Square	all	logit	~1					TRUE										
RD2SpGEConOcc	rBA	0	0	0	Square	all	logit	~1	FALSE	rBa			TRUE										
RD2SpGEConOcc	rBa	0	0	0	Square	all	logit			rBA			TRUE										
Densitypc	p	0	0	0	Square	all	logit	~1	FALSE	c													
Densitypc	c	1	-1	0	Square	all	logit			p													
Densitypc	ptilde	0	1		Square	all	logit	~1															
DensityRanpc	sigmap	0	1		Square	all	log	~1															
DensityRanpc	p	0	0	0	Square	all	logit	~1	FALSE	c													
DensityRanpc	c	1	-1	0	Square	all	logit			p													
DensityRanpc	ptilde	0	1		Square	all	logit	~1															
DensityHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1								
DensityHet	p	0	1	0	Square	all	logit	~1			TRUE	0								
DensityHet	ptilde	0	1		Square	all	logit	~1												
DensityFHet	pi	0	1	0	Square	all	logit	~1			TRUE	-1								
DensityFHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0								
DensityFHet	c	1	-1	0	Square	all	logit			p	TRUE	0								
DensityFHet	ptilde	0	1		Square	all	logit	~1												
PoissonMRacross	alpha	0	0	0	Square	all	log	~1															
PoissonMRacross	sigma	0	0	0	Square	all	log	~1															
PoissonMRacross	U	0	0	0	Square	all	log	~1															
PoissonMRacross	Phi	0	-1	1	Triang	all	logit	~1															
PoissonMRacross	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
PoissonMRacross	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime													
UnIdPoissonMRacross	alpha	0	0	0	Square	all	log	~1															
UnIdPoissonMRacross	sigma	0	0	0	Square	all	log	~1															
UnIdPoissonMRacross	U	0	0	0	Square	all	log	~1															
UnIdPoissonMRacross	Phi	0	-1	1	Triang	all	logit	~1															
UnIdPoissonMRacross	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
UnIdPoissonMRacross	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime													
UnIdPoissonMRacross	r	0	0	0	Square	all	logit	~1															
ZiUnIdPoissonMRwithin	alpha	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRwithin	sigma	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRwithin	U	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRwithin	Phi	0	-1	1	Triang	all	logit	~1															
ZiUnIdPoissonMRwithin	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
ZiUnIdPoissonMRwithin	GammaPrime	0	-1	0	Triang	all	logit			GammaDoublePrime													
ZiUnIdPoissonMRwithin	r	0	0	0	Square	all	logit	~1															
ZiUnIdPoissonMRwithin	w	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRwithin	g	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRacross	alpha	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRacross	sigma	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRacross	U	0	0	0	Square	all	log	~1															
ZiUnIdPoissonMRacross	Phi	0	-1	1	Triang	all	logit	~1															
ZiUnIdPoissonMRacross	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
ZiUnIdPoissonMRacross	GammaPrime	0	-1	0	Triang	all	logit			GammaDoublePrime													
ZiUnIdPoissonMRacross	r	0	0	0	Square	all	logit	~1															
ZiUnIdPoissonMRacross	w	0	0	0	Square	all	logit	~1															
ZiUnIdPoissonMRacross	g	0	0	0	Square	all	logit	~1															
HidMarkov	S	0	-1	1	Triang	all	logit	~stratum						TRUE									
HidMarkov	p	1	-1	0	Triang	all	logit	~stratum						TRUE									
HidMarkov	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum						TRUE	TRUE								
HidMarkov	pi	0	0		Square	all	mlogit	~1						TRUE		1				TRUE			
HidMarkov	Delta	1	-1	0	Triang	all	mlogit	~1						TRUE						TRUE			
OccupancyRE	sigmap	0	1		Square	all	log	~1															
OccupancyRE	p	0	0	0	Square	all	logit	~1															
OccupancyRE	Psi	0	1		Square	all	logit	~1															
RDMultScalOcc	Psi	0	1		Square	all	logit	~1					FALSE	
RDMultScalOcc	Epsilon	0	-1		Square	all	logit	~1	FALSE	Gamma			FALSE										
RDMultScalOcc	Gamma	0	-1		Square	all	logit			Epsilon			FALSE										
RDMultScalOcc	Theta	0	0		Square	all	logit	~1					TRUE										
RDMultScalOcc	p	0	0	0	Square	all	logit	~1					TRUE					FALSE					
NSpeciesOcc	f	0	1		Square	all	logit	~1			TRUE	0 	
NSpeciesOcc	p	0	0	0	Square	all	logit	~1			TRUE	0 										
RDMSOccupancy	Phi0	1	0	0	Square	all	logit	~1			FALSE		FALSE	FALSE						
RDMSOccupancy	Psi	1	-1	0	Square	all	mlogit	~-1+stratum:tostratum			FALSE		FALSE	TRUE	TRUE					
RDMSOccupancy	p	0	0	0	Square	all	mlogit	~-1+stratum:tostratum			FALSE		TRUE	TRUE	TRUE				12	
MSJollySeber	S	0	-1	1	Triang	all	logit	~stratum						TRUE						
MSJollySeber	p	0	0	0	Triang	all	logit	~stratum						TRUE						
MSJollySeber	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum						TRUE	TRUE					
MSJollySeber	pent	1	-1	0	Square	all	mlogit	~1						TRUE						
MSJollySeber	pi	0	1		Square	all	mlogit	~1						TRUE		1				
RDMSOpenMCSeas2	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
RDMSOpenMCSeas2	Psi	0	-1	0	Triang	all	mlogit	~-1+stratum:tostratum					FALSE	TRUE	TRUE								
RDMSOpenMCSeas2	pi	1	-2		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMCSeas2	Omega	0	0		Square	all	mlogit	~1					FALSE	TRUE		1							
RDMSOpenMCSeas2	p	0	0	0	Triang	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas2	Delta	0	0	0	Triang	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas2	pent	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
RDMSOpenMCSeas2	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
RDMSOpenMCSeas2	alpha	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
RDMSOpenMCSeas2	c	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
