model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
RDOccupHetEG	Gamma	0	-1		Square	all	logit			Epsilon			FALSE										
RDOccupHetEG	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDOccupHetEG	p	0	0	0	Square	all	logit	~1			TRUE	0	TRUE										
RDOccupHetPE	Psi	0	0		Square	all	logit	~1					FALSE										
RDOccupHetPE	Epsilon	0	-1		Square	all	logit	~1					FALSE										
RDOccupHetPE	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDOccupHetPE	p	0	0	0	Square	all	logit	~1			TRUE	0	TRUE										
Robust	S	0	-1	1	Triang	all	logit	~1					FALSE										
Robust	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
Robust	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
Robust	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
Robust	c	1	-1	0	Square	all	logit			p			TRUE										
Robust	f0	0			Square	all	log	~session					TRUE										
RDHet	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDHet	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDHet	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDHet	f0	0			Square	all	log	~session			FALSE		TRUE										
RDHFHet	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDHFHet	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDHFHet	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDHFHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDHFHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDHFHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDFullHet	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDFullHet	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDFullHet	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDFullHet	f0	0			Square	all	log	~session			FALSE		TRUE										
RDHuggins	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDHuggins	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDHuggins	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDHuggins	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDHuggins	c	1	-1	0	Square	all	logit			p			TRUE										
RDHHet	S	0	-1	1	Triang	all	logit	~1					FALSE										
RDHHet	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime			FALSE										
RDHHet	GammaPrime	2	-2	0	Triang	all	logit			GammaDoublePrime			FALSE										
RDHHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDHHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
ORDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
ORDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
ORDMS	pent	0	-1	0	Square	all	mlogit	~1					TRUE	TRUE									
ORDMS	Phi	0	-1	1	Triang	all	logit	~1					TRUE	TRUE									
ORDMS	p	0	0	0	Square	all	logit	~1					TRUE	TRUE									
CRDMS	S	0	-1	1	Triang	all	logit	~stratum					FALSE	TRUE									
CRDMS	Psi	0	-1	0	Triang	all	mlogit	~stratum:tostratum					FALSE	TRUE	TRUE								
CRDMS	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE	TRUE									
CRDMS	c	1	-1	0	Square	all	logit			p			TRUE	TRUE									
CRDMS	f0	0			Square	all	log	~session					TRUE	TRUE									
LogitNormalMR	p	0	0	0	Square	all	logit	~1					TRUE										
LogitNormalMR	sigma	0		0	Square	all	log	~session					TRUE										
LogitNormalMR	N	0			Square	all	log	~session					TRUE										
PoissonMR	alpha	0	0	0	Square	all	log	~1															
PoissonMR	sigma	0	0	0	Square	all	log	~1															
PoissonMR	U	0	0	0	Square	all	log	~1															
PoissonMR	Phi	0	-1	1	Triang	all	logit	~1															
PoissonMR	GammaDoublePrime	0	-1	0	Triang	all	logit	~1	FALSE	GammaPrime													
